"Variant SKU",Title,"Variant Price","Image Src",Vendor,Handle,Tags,"Variant Weight Unit","Variant Grams","Cost per item"
,"Water chalk Innisfree Skinny",50.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/30_092a5f28-09e9-4539-8765-263229236e55.jpg?v=1588834488,Venia,copy-of-water-chalk-innisfree-skinny-1,EXTERNAL,g,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/3_70da5dd3-fe85-4df7-bfdf-db86922dd0cf.jpg?v=1588834488,,copy-of-water-chalk-innisfree-skinny-1,EXTERNAL,,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/28_61723a9b-80e9-4e36-b0d5-739cd0c9cebe.jpg?v=1588834488,,copy-of-water-chalk-innisfree-skinny-1,EXTERNAL,,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/sp1_7b0dc519-3eef-41fd-b0cd-4167c7b6308c.jpg?v=1590034886,,copy-of-water-chalk-innisfree-skinny-1,EXTERNAL,,
,Lotion,22.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/42.jpg?v=1588753581,Venia,copy-of-mascara,EXTERNAL,g,
,,42.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/37.jpg?v=1588753581,,copy-of-mascara,EXTERNAL,g,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/30_9aca4bb9-7333-41c9-9437-786877f714c6.jpg?v=1588753581,,copy-of-mascara,EXTERNAL,,
,mascara,22.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/10.jpg?v=1588753304,Venia,copy-of-make-up,EXTERNAL,g,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/10-1.jpg?v=1588753509,,copy-of-make-up,EXTERNAL,,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/10-2.jpg?v=1588753509,,copy-of-make-up,EXTERNAL,,
,"Make up",18.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/6.jpg?v=1588753106,Venia,copy-of-sweet-almond-exfoliating-creme,EXTERNAL,g,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/7.jpg?v=1588753106,,copy-of-sweet-almond-exfoliating-creme,EXTERNAL,,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/1_a7f4e5e0-49ff-404a-9f4a-3f7eb9d666fd.jpg?v=1588753106,,copy-of-sweet-almond-exfoliating-creme,EXTERNAL,,
,"Sweet Almond Exfoliating Crème",20.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/26.jpg?v=1588752474,Venia,sweet-almond-exfoliating-creme,EXTERNAL,g,
,,20.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/27.jpg?v=1589344515,,sweet-almond-exfoliating-creme,EXTERNAL,g,
,,38.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/sp22222.jpg?v=1589344515,,sweet-almond-exfoliating-creme,EXTERNAL,g,
,,38.00,,,sweet-almond-exfoliating-creme,EXTERNAL,g,
,"Cream Cleanser",18.00,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/13.jpg?v=1588752404,Venia,cream-cleanser-1,EXTERNAL,g,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/14.jpg?v=1588752404,,cream-cleanser-1,EXTERNAL,,
,,,https://cdn.shopify.com/s/files/1/0284/9069/4753/products/23.jpg?v=1588752404,,cream-cleanser-1,EXTERNAL,,
